lambda_um	epsilon	I_BB
9.29295	96.21499	212772988.0168632
9.28463	96.42627	213446717.66069224
9.27633	96.5696	214121467.91919446
9.26804	96.62377	214798049.74931428
9.25976	96.5857	215476465.9110923
9.2515	96.47022	216155894.98978606
9.24325	96.30501	216837157.43246493
9.23503	96.06306	217518594.69479582
9.22681	95.8154	218202691.57702196
9.2186	95.65147	218888623.3298655
9.21042	95.58564	219574711.8304111
9.20225	95.60788	220262627.34530047
9.19409	95.63679	220952372.4057429
9.18594	95.64731	221643949.53015456
9.17781	95.68434	222336507.71676576
9.1697	95.74314	223030039.5312887
9.1616	95.81687	223725397.59544834
9.15351	95.89514	224422584.30794305
9.14544	95.96511	225120735.26448822
9.13739	96.01506	225819842.80032536
9.12934	96.03901	226521646.14363158
9.12132	96.03965	227223527.1218102
9.11329	96.02756	227928988.66599262
9.1053	96.01633	228633635.27431944
9.09731	96.01577	229340986.6550555
9.08934	96.0266	230049274.3752889
9.08137	96.03973	230760277.97959363
9.07343	96.0411	231471318.16757774
9.0655	96.02007	232184177.8054441
9.05759	95.97718	232897954.85369352
9.04968	95.92739	233614456.08897752
9.04179	95.89634	234331871.87555945
9.03391	95.90926	235051108.28147563
9.02605	95.9574	235771249.31201306
9.0182	96.04085	236493207.87913898
9.01036	96.12131	237216985.8731073
9.00255	96.1614	237940728.2803692
8.99474	96.1358	238667211.72852257
8.98695	96.05095	239394577.6047881
8.97916	95.94959	240124695.1234471
8.97139	95.89256	240855691.53042582
8.96364	95.93497	241587557.9037017
8.9559	96.10359	242321234.9338536
8.94817	96.38541	243056724.27002174
8.94046	96.73249	243793070.69420233
8.93276	97.08074	244531225.4742834
8.92507	97.37474	245271190.1702886
8.91739	97.58757	246012966.32356143
8.90973	97.72771	246755584.16593865
8.90209	97.83074	247499034.29489216
8.89445	97.94039	248245264.35637924
8.88684	98.0876	248991340.05725354
8.87922	98.27654	249741184.3456265
8.87163	98.45873	250490862.37152368
8.86405	98.5785	251242339.8761866
8.85648	98.66493	251995618.1427927
8.84892	98.69466	252750698.43430278
8.84137	98.66303	253507581.99331725
8.83384	98.58327	254265261.9612
8.82633	98.479	255023728.3342833
8.81882	98.374	255785002.1338279
8.81133	98.28408	256547057.09898582
8.80385	98.21427	257310906.11008474
8.79638	98.16171	258076550.2152823
8.78892	98.12191	258843990.44120342
8.78148	98.09436	259612193.3611732
8.77405	98.08468	260382186.77429852
8.76664	98.1018	261152929.55869707
8.75924	98.15197	261925457.01591635
8.75184	98.23231	262700819.69955236
8.74446	98.32933	263476922.8684794
8.7371	98.42059	264253755.78681597
